PFAF_ID,id,t_score,u_score,p_t,p_u,p_u_thd_0.01,sign
111087,111087_232,8.612458760302417,89.5,2.457701881357202e-08,0.0042500777316508,1.0,1.0
115300,115300_404,7.228735485940916,91.5,3.800885548035762e-07,0.0026506384119339,1.0,1.0
115457,115457_231,4.850868481219868,86.5,6.754263794448122e-05,0.00948282914749,1.0,1.0
115459,115459_231,7.90430750509377,92.5,1.2183657555822349e-07,0.0012657942180062,1.0,1.0
115460,115460_231,2.5936721628201287,91.5,0.0525145846717993,0.0011791760628102,1.0,1.0
115470,115470_231,1.2127239469171085,83.5,0.2909612197159049,0.0046209972076787,1.0,1.0
115715,115715_231,5.194679621312776,94.5,0.0003085253882731,0.0024969089151415,1.0,1.0
115718,115718_231,5.382998821243124,94.5,0.000543217165798,0.0021947476145765,1.0,1.0
117706,117706_508,-3.8721100097648513,-5.5,0.0099201906667919,0.0027812249343891,1.0,-1.0
117913,117913_508,4.501000513781115,93.5,0.0015242782802675,0.0034671931907658,1.0,1.0
122322,122322_716,-4.115623989707901,-10.5,0.0037683452298471,0.0080240023321337,1.0,-1.0
122640,122640_894,8.874106859472874,95.5,3.227409342385061e-08,0.0009709173648419,1.0,1.0
122725,122725_716,-4.16951602918227,-8.5,0.001811809947265,0.0053196860629577,1.0,-1.0
122968,122968_894,4.710600475150509,95.5,0.0029794809411246,0.0019852063607293,1.0,1.0
123066,123066_716,4.591541427934198,94.5,0.0048973586986898,0.0027812249343891,1.0,1.0
124406,124406_710,7.361240008560629,91.5,3.358082537995311e-07,0.0053196860629577,1.0,1.0
124408,124408_710,-6.232303445633752,-7.5,3.998353686880231e-06,0.0043038765583129,1.0,-1.0
124800,124800_72,6.094572611850508,91.5,9.687786145640963e-06,0.0053196860629577,1.0,1.0
124920,124920_710,-4.484477841160558,-8.5,0.0022737065979776,0.0053196860629577,1.0,-1.0
125409,125409_710,-5.252763501933549,-7.5,0.0005045606861292,0.0043038765583129,1.0,-1.0
125533,125533_710,6.961925190083375,91.5,6.50230487549112e-06,0.0053196860629577,1.0,1.0
125535,125535_710,6.532331798595292,95.5,0.0002042124550188,0.0003703679124224,1.0,1.0
125537,125537_710,5.211778452849413,91.5,4.272392694485651e-05,0.0053196860629577,1.0,1.0
125550,125550_710,-3.0248405583495988,-10.5,0.027309699442439,0.0080240023321337,1.0,-1.0
125566,125566_710,-3.3076411414726863,-10.5,0.0191663706808942,0.0080240023321337,1.0,-1.0
125568,125568_710,4.296831484272823,95.5,0.0045015975734418,0.0022214145869887,1.0,1.0
125590,125590_710,-2.4013774503223853,-7.5,0.0693143528380295,0.0043038765583129,1.0,-1.0
125602,125602_710,-5.8333728303910135,-4.5,0.0003733731448681,0.0022214145869887,1.0,-1.0
125603,125603_710,-2.9222278763600515,-10.0,0.0294904861329878,0.007218370861576,1.0,-1.0
125700,125700_710,-5.6174308411986535,-4.5,0.0001427184555933,0.0022214145869887,1.0,-1.0
125804,125804_710,-5.546942053049012,-10.5,2.9455703470028687e-05,0.0080240023321337,1.0,-1.0
125806,125806_710,-4.843251871899933,-4.5,0.0001095072019032,0.0022170503984282,1.0,-1.0
125807,125807_710,-3.7195646594137535,-11.5,0.0013624113790061,0.009792195870725,1.0,-1.0
127609,127609_710,-3.1528064029355627,-11.5,0.0188579455740464,0.009792195870725,1.0,-1.0
127706,127706_710,-4.107146759226895,-12.5,0.0005998772107774,0.0093925878036916,1.0,-1.0
127804,127804_426,8.060126625295451,95.5,2.3183709996937937e-06,0.0022214145869887,1.0,1.0
127950,127950_710,6.586982487346281,95.5,1.1134510591805892e-06,0.0022214145869887,1.0,1.0
131240,131240_24,-4.414993922166758,-9.5,0.0014863212901108,0.0065472876128609,1.0,-1.0
131831,131831_24,2.1124406427089264,95.5,0.1018915834053911,0.0022214145869887,1.0,1.0
131832,131832_24,1.6081336155064363,78.5,0.1830868322859094,0.0028770378029029,1.0,1.0
132972,132972_180,6.692919833145145,91.5,2.0502810863793614e-06,0.0031324166625382,1.0,1.0
133469,133469_266,5.471644162939757,92.5,0.0003897994174799,0.0043038765583129,1.0,1.0
133624,133624_120,7.779392052705859,95.5,5.806047339253361e-07,0.0022214145869887,1.0,1.0
133628,133628_120,4.654631650448858,95.5,0.0043124948523252,0.0022214145869887,1.0,1.0
133640,133640_120,7.064179744780504,95.5,1.687567638445802e-05,0.0022214145869887,1.0,1.0
133650,133650_120,8.355625794838303,90.5,8.266425639923092e-08,0.0039468837628869,1.0,1.0
133660,133660_120,8.497528786438252,90.5,4.148988915774954e-08,0.0065472876128609,1.0,1.0
133670,133670_120,8.645430388083575,93.5,1.6870564155662477e-08,0.0034671931907658,1.0,1.0
142214,142214_566,7.2801107185182845,93.5,4.2938727862653134e-06,0.0034297150468027,1.0,1.0
142230,142230_566,-4.909935057598959,-11.5,0.0001501566425409,0.009792195870725,1.0,-1.0
142286,142286_120,-5.303560157437687,-11.5,0.0002013495297425,0.009792195870725,1.0,-1.0
142299,142299_566,-3.8342388991329295,-11.5,0.0038706620993431,0.0095118833511544,1.0,-1.0
142345,142345_566,5.659382134354976,91.5,0.0001408251029531,0.0048391075462491,1.0,1.0
142347,142347_566,7.435859780787512,89.5,3.972397911279027e-07,0.0080118808880469,1.0,1.0
142380,142380_566,2.5016497481230364,90.5,0.0598665947473768,0.0065472876128609,1.0,1.0
142393,142393_566,7.602556289535372,92.5,2.229400125245147e-07,0.0043038765583129,1.0,1.0
142394,142394_566,7.52197512495197,92.5,2.132016300530065e-07,0.0028433748513975,1.0,1.0
142395,142395_566,7.603001134937125,92.5,2.696280468566404e-07,0.004156377662399,1.0,1.0
142396,142396_566,5.399844294729887,92.0,0.0004450135444374,0.0014346092736305,1.0,1.0
142397,142397_566,6.819775315440944,92.0,1.3879688953676335e-06,0.0018811956920049,1.0,1.0
142466,142466_566,-6.877549145614322,-5.5,1.0520640234957924e-06,0.0027812249343891,1.0,-1.0
142714,142714_854,5.30813824909398,90.5,2.26024649990686e-05,0.0065059089896012,1.0,1.0
142715,142715_854,-2.6999125136594704,-9.5,0.0441357336197261,0.0065472876128609,1.0,-1.0
142726,142726_854,-2.023458525541244,-7.5,0.111847632693247,0.0042964314369015,1.0,-1.0
142732,142732_854,-2.622467850630716,-9.5,0.0434699244625628,0.005367353223309,1.0,-1.0
142963,142963_466,6.913522305496592,91.5,1.2829313885652875e-06,0.0053196860629577,1.0,1.0
143049,143049_566,-5.1317773431032,-9.5,0.00025950550148,0.0065472876128609,1.0,-1.0
144505,144505_288,6.060806540030312,88.5,7.80559897585222e-06,0.009792195870725,1.0,1.0
144706,144706_854,6.404016416255224,92.5,1.5567575701186675e-06,0.004156377662399,1.0,1.0
144900,144900_854,2.1731976771386945,95.5,0.0936994890726457,0.0022214145869887,1.0,1.0
145103,145103_288,-4.75668747032134,-12.5,0.0001372134876127,0.0093925878036916,1.0,-1.0
145776,145776_324,2.611724502979012,93.5,0.0352995222069501,0.0034671931907658,1.0,1.0
147000,147000_478,-5.181260586787435,-12.5,0.0002086677000271,0.0089600669024821,1.0,-1.0
153050,153050_12,4.6163302360187926,89.5,0.0002414688174596,0.0080240023321337,1.0,1.0
154524,154524_504,8.690387623175159,95.5,2.308110540987033e-07,0.0003703679124224,1.0,1.0
154903,154903_12,-3.367552985486688,-11.5,0.0139743212283322,0.009792195870725,1.0,-1.0
162465,162465_566,3.5588700802131394,92.5,0.0031974297162857,0.0043038765583129,1.0,1.0
172110,172110_818,-6.2148907996080975,-4.5,3.078556207410897e-06,0.0022214145869887,1.0,-1.0
172121,172121_818,3.391364705990119,91.5,0.0173615256011646,0.0053196860629577,1.0,1.0
172132,172132_729,4.002412252991585,92.5,0.0029726980579162,0.0043038765583129,1.0,1.0
172133,172133_729,4.374101223070782,91.5,0.000226671077617,0.0053196860629577,1.0,1.0
172193,172193_729,3.646529359403029,91.5,0.0049221852767972,0.0053196860629577,1.0,1.0
172249,172249_231,6.837641707664312,91.5,1.0377671592208863e-06,0.0021493993484858,1.0,1.0
172263,172263_729,8.846993585996298,93.5,9.321278020269772e-09,0.0034421810162026,1.0,1.0
172264,172264_729,6.669541157387418,92.5,1.6022408989935696e-05,0.0008905854024854,1.0,1.0
172265,172265_729,6.177332869004514,93.5,0.000108224800844,0.0009655499562754,1.0,1.0
172266,172266_729,1.7841267573277972,92.5,0.136843091094327,0.0008905854024854,1.0,1.0
172267,172267_729,1.99298601261086,91.5,0.1034044775819431,0.0011791760628102,1.0,1.0
172271,172271_729,7.401737088560895,92.5,7.553609298595639e-07,0.0016687141502293,1.0,1.0
172278,172278_231,8.42194314388325,91.5,1.772201352773746e-08,0.0011791760628102,1.0,1.0
172279,172279_231,5.208179408835302,95.5,4.443998869928121e-05,0.0022214145869887,1.0,1.0
172280,172280_231,5.919531012644447,94.5,5.902013484823537e-06,0.0026775327651646,1.0,1.0
172290,172290_231,5.561884647743154,95.5,2.015770405910488e-05,0.0022214145869887,1.0,1.0
172451,172451_729,7.304897125065428,91.5,2.430207079006028e-07,0.0053196860629577,1.0,1.0
172455,172455_729,3.891456319397409,86.5,0.0073589042585818,0.0082992159952807,1.0,1.0
172474,172474_231,6.8094184523417445,91.5,7.715811918675224e-07,0.0053196860629577,1.0,1.0
172494,172494_231,8.294618608828257,89.5,2.9131190966870794e-08,0.0013681987826822,1.0,1.0
172498,172498_231,3.874046765311802,92.5,0.0093604480314709,0.0042297577631768,1.0,1.0
172972,172972_800,4.863514188331839,90.5,7.550406677663168e-05,0.0065472876128609,1.0,1.0
172973,172973_800,5.154087094712702,94.5,4.944366921095608e-05,0.0027812249343891,1.0,1.0
172975,172975_800,6.191734031541124,94.5,2.926013916173732e-06,0.0027812249343891,1.0,1.0
172976,172976_834,4.227030280148181,91.5,0.0018101519865088,0.0053196860629577,1.0,1.0
172977,172977_834,4.410185845612981,90.5,0.0004681210549329,0.0065472876128609,1.0,1.0
172991,172991_834,4.309391789198044,92.5,0.0004090994979887,0.0043038765583129,1.0,1.0
211017,211017_760,7.695529421124959,91.5,2.491295214662629e-07,0.0051451340663887,1.0,1.0
211032,211032_792,2.687871815843473,89.5,0.0390165188428192,0.0080240023321337,1.0,1.0
211034,211034_792,5.347191547026525,90.5,3.759276715529699e-05,0.0065472876128609,1.0,1.0
211037,211037_792,8.463622034059814,91.5,5.789970613842385e-08,0.0053196860629577,1.0,1.0
211038,211038_792,8.775365954791477,91.5,8.477758114565625e-09,0.0053108816059799,1.0,1.0
211056,211056_792,-4.471885900984205,-9.5,0.000534052319321,0.0065472876128609,1.0,-1.0
213010,213010_792,3.3237437328469364,89.5,0.007569501315092,0.0080240023321337,1.0,1.0
213021,213021_792,6.641346691108007,94.5,1.7375927353879014e-06,0.0024969089151415,1.0,1.0
213026,213026_100,-2.775685469525936,-10.5,0.0406180224516527,0.0080240023321337,1.0,-1.0
213060,213060_300,7.126355384050938,95.5,8.485471624013184e-07,0.0022214145869887,1.0,1.0
213078,213078_8,4.122217448433077,94.5,0.00837547512242,0.0027812249343891,1.0,1.0
214069,214069_250,2.15314015423652,93.5,0.043901673457562,0.0034421810162026,1.0,1.0
216026,216026_756,6.380360563009946,93.5,7.581744645606335e-06,0.0034671931907658,1.0,1.0
216048,216048_724,3.290112982836932,88.5,0.0032462451889717,0.009792195870725,1.0,1.0
221406,221406_792,-4.39530571247235,-11.5,0.0013359140937783,0.009792195870725,1.0,-1.0
221408,221408_792,8.530496931508088,95.5,5.36751174203571e-08,0.0022170503984282,1.0,1.0
221603,221603_792,4.9964535921387805,88.5,8.569588653438656e-05,0.009792195870725,1.0,1.0
221800,221800_792,7.4856357712633566,90.5,3.481842227401013e-07,0.0065472876128609,1.0,1.0
222023,222023_643,-1.7425062303384669,-8.5,0.1547581858086892,0.0053196860629577,1.0,-1.0
222024,222024_643,-4.987815624703209,-10.5,0.0001139354852311,0.0080240023321337,1.0,-1.0
223204,223204_643,-4.339521247298994,-9.5,0.0002487407231623,0.0065472876128609,1.0,-1.0
225117,225117_804,-2.65918688436484,-10.5,0.0425136452072382,0.0080240023321337,1.0,-1.0
225130,225130_804,-3.806152401844349,-10.5,0.0071224870033468,0.0080240023321337,1.0,-1.0
225140,225140_804,-4.475141904641539,-9.5,0.0005910567402822,0.0065472876128609,1.0,-1.0
225300,225300_804,-4.445124148931137,-6.5,0.0010784519027743,0.0034671931907658,1.0,-1.0
226063,226063_804,6.036116989213314,88.5,3.7535844733939015e-06,0.009792195870725,1.0,1.0
227202,227202_642,5.941547205898715,94.5,7.073508657680643e-06,0.0027812249343891,1.0,1.0
227371,227371_100,-4.946353779221066,-7.5,7.134076576057074e-05,0.0043038765583129,1.0,-1.0
227376,227376_642,-5.29017589519174,-9.5,2.6076855607162352e-05,0.0065472876128609,1.0,-1.0
227390,227390_642,5.41724875075376,93.5,2.0061142559865808e-05,0.0034671931907658,1.0,1.0
227401,227401_688,9.226091061090552,92.5,1.3728763108501616e-08,0.0008905854024854,1.0,1.0
227409,227409_705,3.109370551079628,85.5,0.0164574648669292,0.0056201510921649,1.0,1.0
227624,227624_642,5.408254638029837,93.5,0.000234839417739,0.0034671931907658,1.0,1.0
227625,227625_642,3.7656727490325537,88.5,0.0037052067688218,0.009792195870725,1.0,1.0
227626,227626_642,2.5849862265728154,91.5,0.0178265828960709,0.0053196860629577,1.0,1.0
227694,227694_642,5.266643832198177,94.5,3.393311379529973e-05,0.0027812249343891,1.0,1.0
231406,231406_724,-4.125105269401439,-6.5,0.0057456097750545,0.0034671931907658,1.0,-1.0
231700,231700_620,8.532119188827517,94.5,1.9894699126744776e-08,0.0027812249343891,1.0,1.0
231801,231801_620,8.63618397811862,93.5,2.77897110665506e-08,0.0034671931907658,1.0,1.0
231801,231801_724,6.517381749666547,92.5,2.081537620772226e-06,0.0043038765583129,1.0,1.0
231805,231805_724,5.164860283579061,92.5,0.0010918449427701,0.0043038765583129,1.0,1.0
231909,231909_724,4.37492413554012,89.5,0.0008908709512648,0.0080240023321337,1.0,1.0
232180,232180_250,3.5481441140875285,88.5,0.0043646977018569,0.009792195870725,1.0,1.0
232190,232190_250,4.169248650121016,94.5,0.0008434653683169,0.0027812249343891,1.0,1.0
232406,232406_250,4.328149947795688,94.5,0.0002819906993726,0.0027812249343891,1.0,1.0
232409,232409_250,3.395899126798948,88.5,0.0028332735959723,0.009792195870725,1.0,1.0
232620,232620_250,-3.0023077498349977,-9.5,0.0253852685449034,0.0065472876128609,1.0,-1.0
232706,232706_276,-5.9562280086939134,-8.5,6.715499818084482e-06,0.0053196860629577,1.0,-1.0
242240,242240_616,5.65434972506157,95.5,1.766828711620915e-05,0.0022214145869887,1.0,1.0
242410,242410_616,-4.932962998106946,-9.5,0.0002407259595876,0.0065472876128609,1.0,-1.0
242444,242444_616,4.360329382056025,93.5,0.0003256380627384,0.0034671931907658,1.0,1.0
242480,242480_616,-5.438844572110782,-8.5,3.7819143918309465e-05,0.0053196860629577,1.0,-1.0
242491,242491_616,-3.935784991655263,-5.5,0.0113879718448688,0.0027655182338242,1.0,-1.0
243225,243225_246,5.232050582355433,89.5,4.772504456292672e-05,0.0080240023321337,1.0,1.0
243226,243226_246,4.555616919538668,88.5,0.0002109660591734,0.009792195870725,1.0,1.0
243227,243227_246,4.828629641768795,90.5,0.0004783132016901,0.0065472876128609,1.0,1.0
243247,243247_643,3.440749791593812,88.5,0.002258497722892,0.009792195870725,1.0,1.0
244380,244380_752,2.447718598418336,92.5,0.0240322158344609,0.0043038765583129,1.0,1.0
244740,244740_752,5.732659986069254,92.5,7.985690858371535e-06,0.0043038765583129,1.0,1.0
244809,244809_578,7.224328087762433,90.0,7.364387633470691e-07,0.0029269056942753,1.0,1.0
251094,251094_578,4.947637783333299,94.5,7.270021318159035e-05,0.0027812249343891,1.0,1.0
251099,251099_752,-5.392403333735382,-11.5,5.06910903187804e-05,0.009792195870725,1.0,-1.0
271052,271052_352,8.698212288463116,95.5,4.4894656222573487e-08,0.0022214145869887,1.0,1.0
281020,281020_364,4.817975092178489,91.5,0.0010229974262344,0.0043210492455202,1.0,1.0
281040,281040_364,6.19916457262439,91.5,3.639651355853122e-05,0.0052232818798462,1.0,1.0
281070,281070_364,8.234685136698527,92.5,3.612337731558428e-08,0.0008905854024854,1.0,1.0
281080,281080_364,5.107926795388914,88.5,0.0001822784633549,0.00693448345803,1.0,1.0
281097,281097_4,7.284187544517702,89.5,2.491671167419667e-07,0.0080240023321337,1.0,1.0
283119,283119_643,-4.311758582550757,-10.5,0.0007207606230751,0.0080240023321337,1.0,-1.0
283120,283120_643,-5.081008227813473,-6.5,3.927887173989903e-05,0.0034671931907658,1.0,-1.0
283273,283273_643,2.0782182493711656,88.5,0.0511564830398243,0.009792195870725,1.0,1.0
283401,283401_643,-4.182781349946635,-8.5,0.0004479047840941,0.0053196860629577,1.0,-1.0
283665,283665_643,3.681338037652958,95.5,0.001417573256148,0.0022214145869887,1.0,1.0
283666,283666_643,3.9063241767631567,94.5,0.0007587325661767,0.0027812249343891,1.0,1.0
283675,283675_643,-4.268786574896542,-11.5,0.0017274742054785,0.009792195870725,1.0,-1.0
283676,283676_643,-3.337357745882662,-11.5,0.0164652608013361,0.009792195870725,1.0,-1.0
284004,284004_364,6.435160906737818,93.5,1.5230572651820697e-06,0.0034671931907658,1.0,1.0
284202,284202_643,-3.675591490605531,-10.5,0.0070983026781905,0.0080240023321337,1.0,-1.0
284645,284645_31,-5.664188282834895,-8.5,4.378449671478042e-05,0.0053196860629577,1.0,-1.0
284645,284645_364,-5.218070320135351,-8.5,6.947368309353233e-05,0.0053196860629577,1.0,-1.0
284646,284646_51,7.016328003953972,87.5,6.199864608913277e-07,0.0034181472352351,1.0,1.0
284650,284650_31,-2.9431207996517426,-9.5,0.0309393133437746,0.0065472876128609,1.0,-1.0
284660,284660_31,-4.691911482646531,-6.5,0.0017570150604649,0.0034671931907658,1.0,-1.0
284680,284680_268,-3.557811222236751,-4.5,0.0179921293713375,0.0022214145869887,1.0,-1.0
284680,284680_51,4.714434403885268,89.5,0.0010760650391758,0.0020311983018944,1.0,1.0
284690,284690_792,6.892591119408087,95.5,4.229455621190657e-05,0.0005525770418467,1.0,1.0
284801,284801_364,4.917081953328726,94.5,0.0020891370686885,0.0027759833653867,1.0,1.0
284807,284807_364,5.908546034764705,95.5,6.074498747666683e-06,0.0020718373719595,1.0,1.0
284808,284808_364,7.955868781671817,95.5,2.183406495147309e-07,0.0015724085242773,1.0,1.0
284809,284809_364,5.096842077473753,93.5,4.093589442269873e-05,0.0034048633189499,1.0,1.0
292109,292109_364,5.311141025384187,92.5,2.1648188466061747e-05,0.0043038765583129,1.0,1.0
292409,292409_364,3.541040656640182,90.5,0.010201058965522,0.0065472876128609,1.0,1.0
292566,292566_364,9.243213853783042,95.5,1.2456742546257342e-08,0.0015724085242773,1.0,1.0
292701,292701_364,4.36080746570989,88.5,0.0005139889639631,0.009792195870725,1.0,1.0
292805,292805_364,3.238989956729302,88.5,0.0184645761020151,0.009792195870725,1.0,1.0
292806,292806_364,6.661279994517065,90.5,1.05099657594256e-05,0.001552156732363,1.0,1.0
293406,293406_364,5.719550978612448,92.5,0.0002662563781657,0.0008905854024854,1.0,1.0
293609,293609_364,7.220235047796892,93.5,9.973902360286831e-06,0.0022488493941389,1.0,1.0
293802,293802_364,2.82098630471518,91.5,0.0346592187883899,0.0048391075462491,1.0,1.0
293807,293807_364,8.353014090916146,95.5,4.5259351802571286e-08,0.0022214145869887,1.0,1.0
294206,294206_364,6.137588139554795,88.5,4.203893380551245e-06,0.009792195870725,1.0,1.0
294402,294402_364,3.93680677164616,86.5,0.003721888205842,0.00948282914749,1.0,1.0
294403,294403_364,7.525683379119952,91.5,2.916653859723991e-07,0.0053196860629577,1.0,1.0
294404,294404_364,6.239255444579026,93.5,2.8071831036991382e-06,0.0032519605611893,1.0,1.0
294408,294408_364,4.647326292415953,95.5,0.0046739304991331,0.0003703679124224,1.0,1.0
294409,294409_364,7.71827665577608,91.5,2.5623249509487866e-07,0.0043210492455202,1.0,1.0
294645,294645_364,8.637934797761304,95.5,5.0578738383865394e-08,0.0009709173648419,1.0,1.0
