id_bgl,Unnamed: 0,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
4,0,0,2017,1.1740732386694042,0.2754773531162165,63.5,0.3768657114368939,58.664867854042896,10.281090681890086,1
8,1,0,2017,2.4574197222240977,0.0484079599872927,83.5,0.0248837232827013,15.85685527262875,35.940858286566986,1
12,2,0,2017,1.7547599344099896,0.1158934103749721,71.5,0.1534378834105726,71.7810249435903,7.25795584145337,1
16,3,0,2017,,,50.0,1.0,0.0,0.0,-99
20,4,0,2017,,,50.0,1.0,0.0,0.0,-99
24,5,0,2017,4.623897281499825,0.0010139131683988,88.5,0.009792195870725,124.031106224614,112.36998439064864,1
28,6,0,2017,,,50.0,1.0,0.0,0.0,-99
31,7,0,2017,3.874024969958477,0.0033987159159084,87.5,0.0118996445841574,74.88342515925845,31.27939975866993,1
32,8,0,2017,-0.3520707408433891,0.7372539486066454,44.5,0.7339474627492532,345.4774790595415,0.826340109322,1
36,9,0,2017,0.0774014296388112,0.9402755454453786,52.5,0.8918594638362826,708.3275453841885,3.359158225460393,1
40,10,0,2017,5.898585819847805,6.307463364319566e-06,93.5,0.0034671931907658,3.801635673620135,16.08554673670881,1
44,11,0,2017,,,50.0,1.0,0.0,0.0,-99
48,12,0,2017,,,50.0,1.0,0.0,0.0,-99
50,13,0,2017,3.747345946619092,0.0011773731722157,81.5,0.0350957974192842,210.256649992306,12.149700325926794,1
51,14,0,2017,6.2436256613468535,3.359346731739189e-06,94.5,0.0027812249343891,11.175008308611153,33.3612363578936,1
52,15,0,2017,,,50.0,1.0,0.0,0.0,-99
56,16,0,2017,4.557935734105892,0.0003255072218548,88.5,0.009792195870725,1.036096874162825,38.26324617198833,1
60,17,0,2017,,,50.0,1.0,0.0,0.0,-99
64,18,0,2017,-0.7290283884817486,0.4751895990780065,41.5,0.5865744278376042,0.022357336099958,-10.709892921751374,-99
68,19,0,2017,2.2930566647917723,0.0636308716307057,83.5,0.0248837232827013,15.3571521228735,12.761397771057068,1
70,20,0,2017,1.8795690130562368,0.1181135047829142,76.5,0.0771659313616824,14.3619063189097,17.00515634354153,1
72,21,0,2017,4.779777763291415,0.0001686413479467,86.5,0.0143998647267011,12.21239569483945,79.14166144038674,1
76,22,0,2017,1.317465698669815,0.2488557580588538,69.5,0.1965160943128864,4674.96431571533,2.2848089071900444,1
84,23,0,2017,2.4130335288581883,0.0252734081457349,64.5,0.3412684763150512,3.061760944401615,6.560217678470395,1
90,24,0,2017,,,50.0,1.0,0.0,0.0,-99
92,25,0,2017,,,50.0,1.0,0.0,0.0,-99
96,26,0,2017,,,50.0,1.0,0.0,0.0,-99
100,27,0,2017,3.819734806851924,0.0045052538902972,89.5,0.0080240023321337,33.40199366246215,24.81613999989497,1
104,28,0,2017,1.952172262850261,0.0746187871646646,73.5,0.1179480673610386,409.065262925452,13.058374542177717,1
108,29,0,2017,,,50.0,1.0,0.0,0.0,-99
112,30,0,2017,2.705699206858628,0.0347467101212131,88.5,0.009792195870725,2.562149248214655,34.35839111859385,1
116,31,0,2017,3.559454220772301,0.0101382730777966,89.5,0.0080240023321337,9.966307957582824,1253.356111674677,1
120,32,0,2017,4.408625809247605,0.0011044900763209,87.5,0.0118996445841574,605.1603441091615,44.96679155885962,1
124,33,0,2017,0.3902710963655038,0.7017661219429489,48.5,0.9458048585528952,1713.7652302880151,-2.511201061957154,-1
132,34,0,2017,,,50.0,1.0,0.0,0.0,-99
136,35,0,2017,,,50.0,1.0,0.0,0.0,-99
140,36,0,2017,,,50.0,1.0,0.0,0.0,-99
144,37,0,2017,-0.3863191198874028,0.7158855374088797,42.5,0.6341948173294822,124.349097672692,-7.261201212026795,-1
148,38,0,2017,,,50.0,1.0,0.0,0.0,-99
152,39,0,2017,0.9757639013827962,0.3546161883413121,60.5,0.4966573865420429,69.51923508264684,2.397644394234406,1
156,40,0,2017,0.8949458881879977,0.3900716064063133,59.5,0.5406815690956761,4846.82204648088,2.654835242192636,1
162,41,0,2017,,,50.0,1.0,0.0,0.0,-99
166,42,0,2017,,,50.0,1.0,0.0,0.0,-99
170,43,0,2017,3.459756984952562,0.0023495216435937,76.5,0.0771659313616824,63.187487869331605,73.55752203543781,1
174,44,0,2017,,,50.0,1.0,0.0,0.0,-99
175,45,0,2017,,,50.0,1.0,0.0,0.0,-99
178,46,0,2017,1.5406730013662295,0.1373153127377855,61.5,0.4546204062737812,10.212383255373584,97.24536570783692,1
180,47,0,2017,2.156884865337808,0.0633640104377817,79.5,0.0486896107022692,39.59366037931335,38.44488365789223,1
184,48,0,2017,,,50.0,1.0,0.0,0.0,-99
188,49,0,2017,5.343919669196656,3.040135614426949e-05,86.5,0.0143998647267011,5.2945650267869,88.26131353986581,1
191,50,0,2017,1.68512769162845,0.1162593492919295,78.5,0.0569983064105199,4.4896077016610505,14.762426956383576,1
192,51,0,2017,1.833430032882476,0.1264126281974316,76.5,0.0771659313616824,30.4569532130243,32.863392932641986,1
196,52,0,2017,1.9512393601152829,0.0697870868868233,73.5,0.1179480673610386,0.5821771108603571,46.55797776432908,1
203,53,0,2017,2.9800044780956987,0.0092924338710111,78.5,0.0569983064105199,10.7600755646343,9.904530272815933,1
204,54,0,2017,2.2980184164540254,0.0354427555512867,70.5,0.173982817952602,1.8033770173788048,8.738365708966054,1
208,55,0,2017,,,50.0,1.0,0.0,0.0,-99
212,56,0,2017,,,50.0,1.0,0.0,0.0,-99
214,57,0,2017,1.017293371332104,0.3566150076976138,62.5,0.4146659024229229,18.9856645568889,20.45547508705054,1
218,58,0,2017,2.4715845425934297,0.0344606430963317,81.5,0.0350957974192842,18.614183596643848,110.76327477920525,1
222,59,0,2017,0.6809983917312808,0.5218424182557972,54.5,0.7856962962493347,79.16970289266004,-0.161794341151412,-1
226,60,0,2017,,,50.0,1.0,0.0,0.0,-99
231,61,0,2017,1.9808901183291248,0.0610379137290293,68.5,0.2211162550702167,332.4835904269145,26.13615332411268,1
232,62,0,2017,1.6411027433045249,0.1154280733319798,76.5,0.0771659313616824,2.696984088514,219.8609988136241,1
233,63,0,2017,,,50.0,1.0,0.0,0.0,-99
234,64,0,2017,,,50.0,1.0,0.0,0.0,-99
238,65,0,2017,,,50.0,1.0,0.0,0.0,-99
239,66,0,2017,,,50.0,1.0,0.0,0.0,-99
242,67,0,2017,3.830610635015292,0.0018472975814974,84.5,0.0208229749459098,1.145430897711775,49.54110151369456,1
246,68,0,2017,4.345989804079471,0.0007313328547535,91.5,0.0053196860629577,161.2882146759525,21.774892426009707,1
248,69,0,2017,,,50.0,1.0,0.0,0.0,-99
250,70,0,2017,1.87044428489157,0.1053795761803588,75.5,0.0892445471085907,52.3449253387642,16.77352994386235,1
254,71,0,2017,2.9370567937296275,0.0155221045956012,83.5,0.0248837232827013,49.2980193121311,12.683639220219556,1
258,72,0,2017,,,50.0,1.0,0.0,0.0,-99
262,73,0,2017,,,50.0,1.0,0.0,0.0,-99
266,74,0,2017,4.730848187455254,9.105552932993472e-05,78.5,0.0569983064105199,1.34032563332585,708.1602892428742,1
268,75,0,2017,0.9254186524525024,0.3682682831075189,54.5,0.7856962962493347,15.44530425415425,1.8616727433273923,1
270,76,0,2017,,,50.0,1.0,0.0,0.0,-99
276,77,0,2017,4.438662923079249,0.0007534271128873,90.5,0.0065472876128609,22.9645688101906,26.14871410718097,1
288,78,0,2017,2.509037196970598,0.0452844572254133,82.5,0.0296130943526454,1009.2457861185684,82.1567866610454,1
292,79,0,2017,,,50.0,1.0,0.0,0.0,-99
296,80,0,2017,,,50.0,1.0,0.0,0.0,-99
300,81,0,2017,3.247900437275888,0.0159126725592277,88.5,0.009792195870725,32.2914851908177,28.3047353814924,1
304,82,0,2017,3.0189216438300703,0.0064065016110311,77.5,0.066401828302946,0.3006883092457429,10.624440553414354,1
308,83,0,2017,,,50.0,1.0,0.0,0.0,-99
312,84,0,2017,,,50.0,1.0,0.0,0.0,-99
316,85,0,2017,,,50.0,1.0,0.0,0.0,-99
320,86,0,2017,1.9793757924058728,0.0952924536004037,73.5,0.1179480673610386,1.8733785742795697,8.618202736836807,1
324,87,0,2017,-1.890222658465704,0.0916425973151207,27.5,0.1347921615581339,90.65355659391597,-1.7449240491800064,-1
328,88,0,2017,,,50.0,1.0,0.0,0.0,-99
332,89,0,2017,,,50.0,1.0,0.0,0.0,-99
334,90,0,2017,,,50.0,1.0,0.0,0.0,-99
336,91,0,2017,,,50.0,1.0,0.0,0.0,-99
340,92,0,2017,2.202337532674941,0.0682491872213996,75.5,0.0892445471085907,20.3895289517937,6.887090684288707,1
344,93,0,2017,,,50.0,1.0,0.0,0.0,-99
348,94,0,2017,-1.4531974897612228,0.160111109405683,52.5,0.8918594638362826,29.95759877932805,3.5184326703263977,1
352,95,0,2017,6.919152515919096,4.839432177389835e-07,86.5,0.0143998647267011,1.048444723478615,596.2884796696775,1
356,96,0,2017,2.7933674811682985,0.0165113154427863,77.5,0.0664541497999626,6951.14843651859,10.340512817796112,1
360,97,0,2017,3.7539910163485057,0.0042951783994398,88.5,0.009792195870725,141.5673109935555,17.1867962581796,1
364,98,0,2017,3.36998355127981,0.0075593577125675,82.5,0.0296130943526454,255.0179430105025,14.08194029232465,1
368,99,0,2017,1.025627201323405,0.3497693240311183,67.5,0.2478491239282134,472.730198817803,15.508994090044265,1
372,100,0,2017,5.336626981355169,2.0695569893963727e-05,91.5,0.0053196860629577,5.121180651522485,59.127353837615104,1
376,101,0,2017,0.7295629749118528,0.4836958277148826,60.5,0.496574485248665,0.0134171472163871,31.405370866835145,-99
380,102,0,2017,2.3905942115404053,0.0539259623287999,84.5,0.0208229749459098,35.69716331632875,16.96540957859627,1
384,103,0,2017,5.957615320361408,1.465370809263004e-05,93.5,0.0034671931907658,354.4590808782225,51.54445936876707,1
388,104,0,2017,,,50.0,1.0,0.0,0.0,-99
392,105,0,2017,5.746336978723931,9.476720322890176e-06,91.5,0.0053196860629577,137.5792814960795,23.191114160618227,1
398,106,0,2017,1.197701761318333,0.2858595944677081,70.5,0.173982817952602,603.240754630064,2.387127352052852,1
400,107,0,2017,2.670733139479559,0.0413352685831456,87.5,0.0118996445841574,0.4727577519560845,45.23066106276127,1
404,108,0,2017,0.4705702245649281,0.651238212866714,57.5,0.6341948173294822,91.50364288400264,3.5037857976796296,1
408,109,0,2017,0.7745310797239563,0.4742438282010499,66.5,0.2767657228601765,207.071838745995,6.097812475859412,1
410,110,0,2017,0.7856040625765017,0.4631073069949906,65.5,0.307900293130149,155.907891133811,3.7288133235931658,1
414,111,0,2017,,,50.0,1.0,0.0,0.0,-99
417,112,0,2017,0.6600955235628566,0.5372266912508201,62.5,0.4146659024229229,51.98815539489365,2.041502060957693,1
418,113,0,2017,4.0139352481427295,0.0005543210018893,81.5,0.0350957974192842,302.721148508712,29.530579844181347,1
422,114,0,2017,0.2961617026662626,0.7726430592581818,67.5,0.2478491239282134,0.9199039522209204,2.9997864731217145,1
426,115,0,2017,2.8347023668988043,0.0234789380631455,84.5,0.0208229749459098,7.324339241754744,54.7364500603602,1
428,116,0,2017,2.6342448903463813,0.0336469739934055,80.5,0.0414225387933013,4.41530796034095,18.680487663616617,1
430,117,0,2017,3.864642675182916,0.0026219562091223,87.5,0.0118996445841574,5.64242333805168,49.07922573369738,1
434,118,0,2017,0.9577666468512596,0.3781646568439127,64.5,0.3412684763150512,1.965630184917245,23.26059331348195,1
438,119,0,2017,,,50.0,1.0,0.0,0.0,-99
440,120,0,2017,4.372306996255667,0.0002920707213384,84.5,0.0208229749459098,1.515235018231175,19.397057538419443,1
442,121,0,2017,1.8959445978541007,0.1249685050592127,85.5,0.0173523891907614,0.190917510481086,51.06066750283509,1
446,122,0,2017,,,50.0,1.0,0.0,0.0,-99
450,123,0,2017,3.705116317185525,0.0036364638979809,84.5,0.0208229749459098,16.0657221688016,18.478925786709745,1
454,124,0,2017,,,50.0,1.0,0.0,0.0,-99
458,125,0,2017,2.240317703884004,0.044773706831435,76.5,0.0771659313616824,80.13915042132905,174.53221059801604,1
462,126,0,2017,,,50.0,1.0,0.0,0.0,-99
466,127,0,2017,-2.670670577411863,0.0137601647065595,25.5,0.1028016422395197,317.2895442153285,-3.330367646884532,-1
470,128,0,2017,,,50.0,1.0,0.0,0.0,-99
474,129,0,2017,5.250236849346247,2.844362115813495e-05,85.5,0.0173523891907614,0.2645227150060235,73.81062644164544,1
478,130,0,2017,1.5711468207740935,0.1675775675688422,74.5,0.1028016422395197,187.8694259390315,23.833389641205063,1
480,131,0,2017,,,50.0,1.0,0.0,0.0,-99
484,132,0,2017,-0.511129376308401,0.6146620616828173,51.5,0.9458048585528952,1215.13191644434,-0.2110469981653889,-1
492,133,0,2017,,,50.0,1.0,0.0,0.0,-99
496,134,0,2017,1.4896677138190435,0.1594691925192538,65.5,0.307900293130149,13.4207532552296,3.9081666800837183,1
498,135,0,2017,1.127455112068799,0.2965936242661275,66.5,0.2767657228601765,5.26135483935804,17.10399067635768,1
499,136,0,2017,0.9104529042975528,0.3884044049799352,64.5,0.3412684763150512,2.132364087438845,4.8352425644987695,1
500,137,0,2017,,,50.0,1.0,0.0,0.0,-99
504,138,0,2017,1.7848537577756611,0.1100233119330111,75.5,0.0892445471085907,95.89135351779616,17.770205178384437,1
508,139,0,2017,3.679222224515564,0.0018529475309962,81.5,0.0350957974192842,258.223423092798,59.54343795681313,1
512,140,0,2017,2.114962798355416,0.0495951781035353,88.5,0.0035385529761914,0.0,6732771.925744599,-99
516,141,0,2017,3.001746633560733,0.0225080778642171,86.5,0.0143998647267011,15.97924286666035,54.46259646431274,1
520,142,0,2017,,,50.0,1.0,0.0,0.0,-99
524,143,0,2017,-2.640567658013858,0.0161736739931318,21.5,0.056807206847649,0.8103503867750985,-5.490337343140929,-1
528,144,0,2017,5.310809306531306,0.0006350095960205,94.5,0.0027812249343891,13.9311817507886,90.15379163040912,1
531,145,0,2017,,,50.0,1.0,0.0,0.0,-99
533,146,0,2017,,,50.0,1.0,0.0,0.0,-99
534,147,0,2017,,,50.0,1.0,0.0,0.0,-99
540,148,0,2017,,,50.0,1.0,0.0,0.0,-99
548,149,0,2017,,,50.0,1.0,0.0,0.0,-99
554,150,0,2017,-1.5224140282200578,0.1583279063139163,27.5,0.1347921615581339,29.90993231631595,-5.796924497198135,-1
558,151,0,2017,1.90729606193726,0.084842753547286,70.5,0.173982817952602,7.04747939601657,15.58945881521631,1
562,152,0,2017,,,50.0,1.0,0.0,0.0,-99
566,153,0,2017,-1.6494236742104271,0.1210824946565606,27.5,0.1347921615581339,903.4216169358835,-1.8424022065893948,-1
570,154,0,2017,,,50.0,1.0,0.0,0.0,-99
574,155,0,2017,,,50.0,1.0,0.0,0.0,-99
578,156,0,2017,6.51769669790189,3.517106836315305e-06,93.5,0.0034671931907658,56.9427264031459,117.79928126168564,1
580,157,0,2017,,,50.0,1.0,0.0,0.0,-99
583,158,0,2017,,,50.0,1.0,0.0,0.0,-99
584,159,0,2017,,,50.0,1.0,0.0,0.0,-99
585,160,0,2017,,,50.0,1.0,0.0,0.0,-99
586,161,0,2017,0.8454372588754961,0.4253213995679548,57.5,0.6341948173294822,435.3878177725781,0.9799023392083642,1
591,162,0,2017,3.333064819028092,0.002896529774145,77.5,0.0664541497999626,63.9869064990088,12.929432252053685,1
598,163,0,2017,1.7093097124230918,0.1383978074428064,82.5,0.0296130943526454,3.63526260718936,47.9970924386558,1
600,164,0,2017,-2.8718835326249623,0.0140815284753487,19.5,0.0414225387933013,88.265401137075,-31.49930144352767,-1
604,165,0,2017,-1.2040703025086612,0.255472857396062,29.5,0.173982817952602,178.40292695541052,-9.388885663149136,-1
608,166,0,2017,0.6949875154278798,0.5102244710951848,57.5,0.6341948173294822,42.5731851783041,7.487802323794438,1
612,167,0,2017,,,50.0,1.0,0.0,0.0,-99
616,168,0,2017,2.4437174777827897,0.0393812629411566,78.5,0.0569983064105199,18.9742253821697,28.151506573317832,1
620,169,0,2017,2.7328051374773312,0.0136664983992547,75.5,0.0892445471085907,54.9828299719661,13.13101250568348,1
624,170,0,2017,,,50.0,1.0,0.0,0.0,-99
626,171,0,2017,,,50.0,1.0,0.0,0.0,-99
630,172,0,2017,0.973778512830576,0.3564386712351172,60.5,0.4966573865420429,5.146870198572286,9.063896418828262,1
634,173,0,2017,,,50.0,1.0,0.0,0.0,-99
638,174,0,2017,,,50.0,1.0,0.0,0.0,-99
642,175,0,2017,1.263691926422167,0.2199685744420227,62.5,0.4146659024229229,42.4427815272263,4.727828245862868,1
643,176,0,2017,3.948021251301787,0.0040186602216395,91.5,0.0053196860629577,2259.433670683695,16.906754595364124,1
646,177,0,2017,5.625789120397775,1.0785830159419064e-05,86.5,0.0143998647267011,0.1158576427231879,1219.1120786617803,1
652,178,0,2017,,,50.0,1.0,0.0,0.0,-99
654,179,0,2017,,,50.0,1.0,0.0,0.0,-99
659,180,0,2017,,,50.0,1.0,0.0,0.0,-99
660,181,0,2017,,,50.0,1.0,0.0,0.0,-99
662,182,0,2017,,,50.0,1.0,0.0,0.0,-99
663,183,0,2017,,,50.0,1.0,0.0,0.0,-99
666,184,0,2017,,,50.0,1.0,0.0,0.0,-99
670,185,0,2017,,,50.0,1.0,0.0,0.0,-99
674,186,0,2017,,,50.0,1.0,0.0,0.0,-99
678,187,0,2017,,,50.0,1.0,0.0,0.0,-99
682,188,0,2017,2.873619810458348,0.0207075630154551,81.5,0.0350957974192842,2.487750384344965,127.47287598239758,1
686,189,0,2017,0.1332620739237726,0.8985486940334704,54.5,0.7856962962493347,37.53248884889245,6.089398743529693,1
688,190,0,2017,3.1664614463022804,0.008880642173105,82.5,0.0296130943526454,12.788968118970551,20.25088243888185,1
690,191,0,2017,,,50.0,1.0,0.0,0.0,-99
694,192,0,2017,4.487045172018309,0.0002503395378915,93.5,0.0034671931907658,10.53572910217915,22.13346384270211,1
702,193,0,2017,0.6059160432212041,0.5681621493144324,64.5,0.3412684763150512,0.4127632392602335,4.747684315063946,1
703,194,0,2017,1.98691844334207,0.0688893645662622,69.5,0.1965160943128864,7.220118247202995,12.229016209902248,1
704,195,0,2017,5.319091612954541,3.218669968546602e-05,85.5,0.0173523891907614,551.4926866200719,38.44252898950555,1
705,196,0,2017,0.2974006050605834,0.773991308015939,49.5,1.0,0.4424983673379755,-0.6530906287336368,-1
706,197,0,2017,,,50.0,1.0,0.0,0.0,-99
710,198,0,2017,1.6058933232428951,0.1559396613126944,71.5,0.1534378834105726,361.6273084084385,27.424603260514147,1
716,199,0,2017,3.947644801796177,0.004038928304237,88.5,0.009792195870725,215.8179332492585,50.578080690949,1
724,200,0,2017,4.725878225871359,0.0001766359243589,90.5,0.0065472876128609,321.540221589802,25.50287493925311,1
728,201,0,2017,,,50.0,1.0,0.0,0.0,-99
729,202,0,2017,0.0489455138472649,0.9621881767590644,52.5,0.8918594638362826,1424.00914250454,1.721617303611521,1
732,203,0,2017,,,50.0,1.0,0.0,0.0,-99
740,204,0,2017,2.1404208433041183,0.0779394423696769,78.5,0.0569983064105199,4.142583264638415,35.57822699059572,1
744,205,0,2017,,,50.0,1.0,0.0,0.0,-99
748,206,0,2017,1.1439880975717795,0.2862860498498128,66.5,0.2767657228601765,7.303284840833385,17.027201682195034,1
752,207,0,2017,5.306786646994946,3.7259400812700064e-05,94.5,0.0027812249343891,170.2554562406135,17.499867419465666,1
756,208,0,2017,3.714818926675617,0.0099002870221018,91.5,0.0053196860629577,7.574173835343135,16.89299643307495,1
760,209,0,2017,0.3126988687308343,0.7670189112432778,50.5,1.0,41.7083529254126,0.3979475698768663,1
762,210,0,2017,-3.9601472472117214,0.0027204514046166,16.5,0.0248837232827013,160.8634923110995,-17.80607313783948,-1
764,211,0,2017,-0.0867812308351596,0.9337247270916738,45.5,0.7856962962493347,1277.14268262925,-1.9521825004575064,-1
768,212,0,2017,0.3645516988355244,0.7228685937941685,52.5,0.8918594638362826,93.8372815375368,2.2893094993664267,1
772,213,0,2017,,,50.0,1.0,0.0,0.0,-99
776,214,0,2017,,,50.0,1.0,0.0,0.0,-99
780,215,0,2017,,,50.0,1.0,0.0,0.0,-99
784,216,0,2017,0.0868166969133602,0.9316496619732711,86.5,0.0057254098694467,0.0,113899.951102212,-99
788,217,0,2017,-2.180449682013508,0.0400439809082412,30.5,0.1965160943128864,66.54604680886405,-16.834967010852832,-1
792,218,0,2017,5.153485895417266,5.633614936524782e-05,89.5,0.0080240023321337,377.97952907951,24.71587236035213,1
795,219,0,2017,0.8895536939557097,0.4132099578888258,69.5,0.1965160943128864,117.2364065137845,23.16335106893389,1
796,220,0,2017,,,50.0,1.0,0.0,0.0,-99
798,221,0,2017,,,50.0,1.0,0.0,0.0,-99
800,222,0,2017,3.58218494240163,0.0030513202442551,82.5,0.0296130943526454,32.691014379154296,31.8372502718682,1
804,223,0,2017,4.053413433315828,0.0061337518639085,93.5,0.0034671931907658,203.329144217627,23.57666686284093,1
807,224,0,2017,2.478550859163107,0.0593250719944472,82.5,0.0296130943526454,5.967799171890524,43.712726882979176,1
818,225,0,2017,-1.878010903388856,0.0994252937160187,26.5,0.1179480673610386,839.7519123832585,-21.22429650842747,-1
826,226,0,2017,4.730617374161931,0.0004209663648373,91.5,0.0053196860629577,21.6942738666973,80.58932286103031,1
831,227,0,2017,,,50.0,1.0,0.0,0.0,-99
832,228,0,2017,,,50.0,1.0,0.0,0.0,-99
833,229,0,2017,,,50.0,1.0,0.0,0.0,-99
834,230,0,2017,0.6907429318837155,0.5167446779343452,61.5,0.4546204062737812,132.363231525561,12.3755903403081,1
840,231,0,2017,-1.696367760747304,0.1246911718452805,31.5,0.2211162550702167,5026.505327242585,-2.1534580041805924,-1
850,232,0,2017,,,50.0,1.0,0.0,0.0,-99
854,233,0,2017,2.8878145169321647,0.020125666071531,82.5,0.0296130943526454,305.2259537228175,21.930608408288712,1
858,234,0,2017,0.4056905030444453,0.7019463662414174,57.5,0.6341948173294822,172.024124276849,35.27660408768463,1
860,235,0,2017,0.5748481339951771,0.5882323499814532,57.5,0.6341948173294822,139.8865630539655,1.706763573021729,1
862,236,0,2017,0.9018755393441856,0.3889975578524902,68.5,0.2211162550702167,704.48251777603,13.234362526941895,1
876,237,0,2017,,,50.0,1.0,0.0,0.0,-99
882,238,0,2017,,,50.0,1.0,0.0,0.0,-99
887,239,0,2017,,,50.0,1.0,0.0,0.0,-99
894,240,0,2017,4.583800327700375,0.0003424679456727,86.5,0.0143998647267011,195.2479330926535,51.37412252168188,1
999,241,0,2017,1.1236432429264325,0.3084229009866023,71.5,0.1534378834105726,10.316240915087349,4.05296375757076,1
1011,242,0,2017,,,50.0,1.0,0.0,0.0,-99
1012,243,0,2017,,,50.0,1.0,0.0,0.0,-99
1013,244,0,2017,,,50.0,1.0,0.0,0.0,-99
1014,245,0,2017,,,50.0,1.0,0.0,0.0,-99
1015,246,0,2017,,,50.0,1.0,0.0,0.0,-99
1016,247,0,2017,,,50.0,1.0,0.0,0.0,-99
1017,248,0,2017,,,50.0,1.0,0.0,0.0,-99
1018,249,0,2017,,,50.0,1.0,0.0,0.0,-99
1019,250,0,2017,,,50.0,1.0,0.0,0.0,-99
1021,251,0,2017,,,50.0,1.0,0.0,0.0,-99
1023,252,0,2017,,,50.0,1.0,0.0,0.0,-99
1025,253,0,2017,,,50.0,1.0,0.0,0.0,-99
1027,254,0,2017,,,50.0,1.0,0.0,0.0,-99
1029,255,0,2017,,,50.0,1.0,0.0,0.0,-99
1031,256,0,2017,,,50.0,1.0,0.0,0.0,-99
1032,257,0,2017,,,50.0,1.0,0.0,0.0,-99
1033,258,0,2017,,,50.0,1.0,0.0,0.0,-99
1034,259,0,2017,,,50.0,1.0,0.0,0.0,-99
1035,260,0,2017,,,50.0,1.0,0.0,0.0,-99
1036,261,0,2017,,,50.0,1.0,0.0,0.0,-99
1038,262,0,2017,,,50.0,1.0,0.0,0.0,-99
1039,263,0,2017,,,50.0,1.0,0.0,0.0,-99
1040,264,0,2017,,,50.0,1.0,0.0,0.0,-99
1041,265,0,2017,,,50.0,1.0,0.0,0.0,-99
1042,266,0,2017,,,50.0,1.0,0.0,0.0,-99
1043,267,0,2017,,,50.0,1.0,0.0,0.0,-99
1044,268,0,2017,,,50.0,1.0,0.0,0.0,-99
1046,269,0,2017,,,50.0,1.0,0.0,0.0,-99
1047,270,0,2017,,,50.0,1.0,0.0,0.0,-99
1048,271,0,2017,,,50.0,1.0,0.0,0.0,-99
1049,272,0,2017,,,50.0,1.0,0.0,0.0,-99
1052,273,0,2017,0.6647793305764013,0.5271852102544887,54.5,0.7856962962493347,135.606400222732,18.76917721006998,1
1068,274,0,2017,,,50.0,1.0,0.0,0.0,-99
1082,275,0,2017,,,50.0,1.0,0.0,0.0,-99
1097,276,0,2017,,,50.0,1.0,0.0,0.0,-99
1098,277,0,2017,,,50.0,1.0,0.0,0.0,-99
